BJD - 2454833, Corrected Flux,
2165.413292650, 1.000091424,
2165.433724270, 1.000185301,
2165.454155990, 1.000159854,
2165.474587809, 1.000157234,
2165.495019428, 1.000083436,
2165.515451147, 1.000023833,
2165.535882965, 1.000153121,
2165.556314683, 1.000000749,
2165.576746301, 1.000118492,
2165.597178118, 1.000023620,
2165.638041452, 1.000062803,
2165.658473269, 1.000121044,
2165.678904985, 1.000023728,
2165.699336600, 0.999907291,
2165.719768416, 0.999959424,
2165.740200131, 1.000064659,
2165.760631946, 1.000184949,
2165.781063561, 1.000300911,
2165.801495275, 1.000121152,
2165.821927089, 1.000069247,
2165.842358703, 1.000126486,
2165.862790416, 1.000148343,
2165.883222129, 1.000113863,
2165.903653842, 1.000089616,
2165.924085554, 1.000170036,
2165.944517266, 1.000092191,
2165.964948978, 1.000002598,
2165.985380690, 1.000107605,
2166.005812401, 1.000113921,
2166.026244112, 1.000035500,
2166.046675822, 1.000047488,
2166.067107633, 1.000180950,
2166.087539242, 1.000079206,
2166.107970952, 1.000108527,
2166.128402761, 1.000218666,
2166.148834370, 1.000075682,
2166.169266079, 1.000110682,
2166.189697887, 1.000202843,
2166.210129496, 1.000177604,
2166.230561203, 1.000054931,
2166.250993011, 1.000148619,
2166.271424618, 1.000062125,
2166.291856425, 1.000200763,
2166.312288132, 1.000100655,
2166.332719738, 1.000245151,
2166.373583249, 1.000103427,
2166.394014955, 1.000137984,
2166.434878364, 1.000146785,
2166.475741773, 1.000118880,
2166.496173477, 1.000011338,
2166.516605180, 0.999839447,
2166.537036983, 0.999358020,
2166.557468586, 0.991340459,
2166.577900289, 0.988510767,
2166.598332091, 0.987582351,
2166.618763693, 0.987270893,
2166.639195395, 0.988021633,
2166.659627096, 0.989363292,
2166.680058797, 0.995738544,
2166.700490498, 1.000258360,
2166.720922199, 1.000255222,
2166.741353899, 1.000300789,
2166.761785599, 1.000120513,
2166.782217298, 1.000191241,
2166.802648997, 1.000282984,
2166.823080796, 1.000067843,
2166.863944093, 1.000281678,
2166.884375891, 1.000316752,
2166.925239187, 1.000950149,
2166.945670984, 1.000126982,
2166.966102681, 1.000299573,
2166.986534277, 1.000217953,
2167.006966074, 1.000204115,
2167.027397770, 0.999947313,
2167.047829365, 1.000251766,
