BJD - 2454833, Corrected Flux
2320.626544531, 0.994639385,
2320.646976295, 0.994597469,
2320.667408058, 0.994610492,
2320.687839822, 0.994537144,
2320.708271585, 0.994712588,
2320.728703348, 0.994843475,
2320.749135110, 0.994354212,
2320.789998735, 0.994635339,
2320.810430397, 0.994412108,
2320.830862158, 0.994369083,
2320.851294020, 0.994344630,
2320.871725681, 0.994640979,
2320.892157442, 0.994373837,
2320.912589302, 0.994673478,
2320.933020963, 0.994440147,
2320.953452723, 0.994226239,
2320.973884583, 0.994431970,
2320.994316242, 0.994676717,
2321.014748002, 0.994905261,
2321.035179861, 0.994614318,
2321.055611520, 0.994735727,
2321.076043378, 0.994787791,
2321.096475137, 0.994802075,
2321.116906895, 0.994853174,
2321.137338653, 0.994999847,
2321.157770411, 0.994802506,
2321.178202168, 0.994498528,
2321.198633925, 0.994648654,
2321.219065682, 0.994629792,
2321.239497439, 0.994777250,
2321.280360952, 0.994765350,
2321.300792708, 0.994797521,
2321.321224563, 0.994870563,
2321.341656219, 0.994813591,
2321.362087974, 0.995033425,
2321.382519729, 0.994777951,
2321.402951484, 0.996175967,
2321.423383138, 0.994764594,
2321.443814993, 0.994834252,
2321.464246747, 0.994885297,
2321.484678601, 0.994874608,
2321.505110254, 0.994393639,
2321.525542008, 0.994018726,
2321.545973861, 0.994076316,
2321.566405514, 0.993948508,
2321.586837266, 0.994005441,
2321.607269119, 0.993988205,
2321.627700871, 0.994167837,
2321.648132523, 0.994785121,
2321.668564374, 0.994760204,
2321.688996126, 0.994874283,
2321.709427777, 0.995031350,
2321.729859628, 0.994999583,
2321.770723029, 0.995043266,
2321.791154879, 0.994966058,
2321.811586629, 0.995066889,
2321.832018279, 0.995013633,
2321.852450129, 0.994789084,
2321.872881878, 0.995089955,
2321.893313727, 0.995107178,
2321.913745376, 0.994974914,
2321.934177124, 0.995122227,
2321.954608973, 0.995034438,
2321.975040621, 0.995090967,
2321.995472369, 0.994812174,
2322.015904216, 0.995129977,
2322.036335864, 0.994968255,
2322.056767611, 0.995094754,
2322.077199358, 0.994947347,
2322.097631104, 0.994826942,
2322.118062851, 0.994840376,
2322.138494697, 0.994932171,
2322.158926343, 0.994703446,
2322.179358089, 0.994931396,
2322.199789935, 0.994853429,
2322.220221580, 0.995123012,
2322.261085170, 0.995084133,
2322.281516814, 0.995060966,
2322.301948659, 0.995237481,
2322.322380403, 0.995091438,
2322.342812047, 0.995221566,
2322.363243891, 0.995079331,
2322.383675634, 0.994956035,
2322.404107277, 0.995125818,
2322.424539120, 0.995128503,
2322.444970863, 0.995216160,
2322.465402606, 0.995122243,
2322.485834348, 0.995151011,
2322.506266090, 0.995244472,
2322.526697832, 0.995325620,
2322.547129574, 0.995086208,
2322.567561315, 0.995090306,
2322.587993056, 0.995237798,
2322.608424897, 0.995171569,
2322.628856538, 0.995191013,
2322.649288378, 0.995235822,
2322.669720119, 0.995180630,
2322.690151759, 0.995362728,
2322.710583599, 0.995247352,
2322.751446977, 0.995466713,
2322.771878817, 0.995485377,
2322.792310455, 0.995223144,
2322.812742194, 0.995266686,
2322.833174033, 0.995126231,
2322.853605671, 0.995422524,
2322.874037409, 0.995264784,
2322.894469247, 0.995401483,
2322.914900884, 0.995320271,
2322.935332622, 0.995376376,
2322.955764459, 0.995305480,
2322.976196196, 0.995362979,
2322.996627832, 0.995399927,
2323.017059669, 0.995378768,
2323.037491405, 0.995250331,
2323.057923141, 0.995436016,
2323.078354877, 0.995335888,
2323.098786612, 0.995418278,
2323.119218347, 0.995415364,
2323.139650083, 0.995538499,
2323.160081818, 0.995377467,
2323.180513652, 0.995389880,
2323.200945287, 0.995632365,
2323.241808855, 0.995348574,
2323.262240489, 0.995423581,
2323.282672222, 0.995486782,
2323.303104056, 0.995426458,
2323.323535689, 0.995454479,
2323.343967422, 0.995473245,
2323.364399254, 0.995421315,
2323.384830887, 0.995411490,
2323.405262619, 0.995416292,
2323.425694451, 0.995335093,
2323.446126183, 0.995772847,
2323.466557914, 0.995421840,
2323.486989646, 0.995440836,
2323.507421277, 0.995571501,
2323.527853108, 0.995498545,
2323.548284839, 0.995738092,
2323.568716469, 0.995502610,
2323.589148299, 0.995604549,
2323.609580029, 0.996104232,
2323.630011659, 0.995477278,
2323.650443489, 0.995324936,
2323.670875218, 0.995634382,
2323.691306847, 0.995651504,
2323.732170405, 0.995590877,
2323.752602034, 0.995603943,
2323.773033862, 0.995595149,
2323.813897418, 0.995710704,
2323.834329046, 0.995605262,
2323.854760773, 0.995664059,
2323.875192601, 0.995658913,
2323.895624228, 0.995702813,
2323.916055955, 0.995646469,
2323.936487781, 0.995612802,
2323.956919407, 0.995431792,
2323.977351134, 0.995467418,
2323.997782960, 0.995686030,
2324.018214685, 0.995636110,
2324.038646311, 0.995642407,
2324.059078136, 0.995801454,
2324.079509861, 0.995748662,
2324.099941486, 0.995885786,
2324.120373311, 0.995725686,
2324.140805035, 0.995760793,
2324.161236660, 0.995656334,
2324.181668484, 0.996023659,
2324.242963655, 0.995794570,
2324.263395378, 0.995846141,
2324.283827101, 0.995819710,
2324.304258824, 0.995686953,
2324.324690447, 0.995623277,
2324.345122269, 0.995831412,
2324.365553991, 0.995740882,
2324.385985713, 0.995691853,
2324.406417435, 0.995898930,
2324.426849157, 0.995841032,
2324.447280878, 0.995715057,
2324.467712699, 0.995825682,
2324.488144320, 0.995872545,
2324.508576041, 0.995829333,
2324.529007861, 0.995775802,
2324.549439482, 0.995808544,
2324.569871302, 0.995844201,
2324.590303022, 0.995899584,
2324.610734641, 0.995782157,
2324.631166461, 0.995941025,
2324.651598180, 0.995846285,
2324.672029799, 0.995958342,
2324.712893337, 0.995852823,
2324.733324955, 0.995716772,
2324.753756774, 0.995857876,
2324.774188492, 0.995730276,
2324.794620110, 0.995860983,
2324.815051927, 0.995878510,
2324.835483645, 0.995889816,
2324.855915362, 0.996022149,
2324.876347079, 0.995872077,
2324.896778796, 0.995932917,
2324.917210513, 0.995982963,
2324.937642329, 0.996030092,
2324.958073945, 0.995947276,
2324.978505661, 0.995977170,
2324.998937377, 0.996032867,
2325.019369093, 0.995965223,
2325.039800908, 0.995968814,
2325.060232523, 0.995982583,
2325.080664238, 0.996213712,
2325.101096053, 0.996094395,
2325.121527668, 0.995917683,
2325.141959383, 0.996343616,
2325.162391197, 0.996097085,
2325.203254525, 0.996152154,
2325.223686338, 0.995769009,
2325.244117952, 0.996018681,
2325.264549665, 0.995969100,
2325.284981478, 0.996032670,
2325.305413191, 0.996021156,
2325.325844903, 0.995953137,
2325.346276916, 0.995930137,
2325.366708628, 0.995858236,
2325.387140340, 0.995993841,
2325.407572052, 0.996218057,
2325.428003664, 0.995933850,
2325.448435475, 0.995864786,
2325.468867186, 0.995981400,
2325.489298798, 0.996086109,
2325.509730608, 0.996024841,
2325.530162319, 0.996044049,
2325.550593929, 0.996144916,
2325.571025740, 0.996027697,
2325.591457450, 0.996068760,
2325.611889060, 0.996144930,
2325.632320869, 0.996183419,
2325.652752579, 0.996206240,
2325.693615998, 0.996067978,
2325.714047706, 0.996171441,
2325.734479515, 0.996167385,
2325.754911124, 0.996258624,
2325.775342832, 0.996208094,
2325.795774640, 0.996265336,
2325.816206248, 0.996074695,
2325.836637956, 0.996166123,
2325.857069764, 0.996264094,
2325.877501471, 0.996242573,
2325.897933078, 0.996176864,
2325.918364885, 0.995994787,
2325.938796592, 0.996477020,
2325.959228198, 0.996215158,
2325.979660005, 0.996279860,
2326.000091711, 0.996216293,
2326.020523317, 0.996298844,
2326.040955123, 0.996143272,
2326.061386829, 0.996003333,
2326.081818634, 0.996334679,
2326.102250240, 0.996181629,
2326.122681945, 0.996079987,
2326.143113650, 0.996019911,
2326.204408763, 0.996267892,
2326.224840467, 0.996003246,
2326.245272171, 0.995207422,
2326.265703875, 0.995266906,
2326.286135579, 0.995114018,
2326.306567282, 0.995125978,
2326.326998986, 0.995202101,
2326.347430688, 0.995392097,
2326.367862391, 0.995742219,
2326.388294194, 0.996240588,
2326.408725796, 0.996300684,
2326.429157599, 0.996381056,
2326.449589301, 0.996491635,
2326.470020903, 0.996157708,
2326.490452705, 0.996275619,
2326.510884406, 0.996114429,
2326.531316008, 0.996414848,
2326.551747809, 0.996394507,
2326.572179510, 0.996366709,
2326.592611110, 0.996434350,
2326.613042911, 0.996277357,
2326.633474612, 0.996550954,
2326.653906212, 0.996487824,
2326.674338012, 0.996541953,
2326.694769712, 0.996326478,
2326.715201411, 0.996190431,
2326.735633111, 0.996333070,
2326.756064810, 0.996002265,
2326.776496510, 0.996318178,
2326.796928209, 0.996653743,
2326.817359907, 0.996389331,
2326.837791706, 0.996326871,
2326.858223304, 0.996241940,
2326.878655003, 0.996300721,
2326.919518399, 0.996537215,
2326.939950097, 0.996446710,
2326.960381894, 0.996669374,
2326.980813491, 0.996777879,
2327.001245188, 0.996479404,
2327.021676986, 0.996565430,
2327.042108582, 0.996489573,
2327.062540279, 0.996533924,
2327.082972075, 0.996485215,
2327.103403672, 0.996602583,
2327.123835368, 0.996532585,
2327.144267164, 0.996631378,
2327.164698759, 0.996530831,
2327.185130555, 0.996520462,
2327.205562251, 0.996522338,
2327.225993946, 0.996624428,
2327.246425641, 0.996492086,
2327.266857336, 0.996357210,
2327.287289030, 0.996527390,
2327.307720725, 0.996494329,
2327.328152419, 0.996620518,
2327.348584113, 0.996536491,
2327.369015907, 0.996479772,
2327.409879195, 0.996599941,
2327.430310988, 0.996451840,
2327.450742581, 0.996500559,
2327.471174275, 0.996408651,
2327.491606068, 0.997508468,
2327.512037660, 0.996675363,
